Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID,In-Person Look
416,11,Joey Oakie,CLE,SP,2024,2027,18.9,352,-64,,*06hf0*,
417,11,Boston Bateman,SD,SP,2024,2027,19.5,353,-64,,*06kkb*,
418,11,Brody Brecht,COL,SP,2024,2026,22.5,354,-64,,*05ybz*,
419,11,Shotaro Morii,ATH,"SS,P",2025,2029,18.3,NR,NA,,*06r8u*,
420,11,Joswa Lugo,LAA,SS,2024,2028,18.2,355,-65,,*06ica*,
421,11,Gage Jump,ATH,SP,2024,2026,22,356,-65,,*05t9g*,
422,11,Khal Stephen,TOR,SP,2024,2027,22.3,440,18,,*06nub*,Y
423,11,Luke Holman,CIN,SP,2024,2026,22.2,357,-66,,*05yh6*,
424,11,Troy Melton,DET,SP,2022,2025,24.3,518,94,,*05uc4*,Y
425,12,Jeral Perez,CHW,"2B,SS",2022,2026,20.4,359,-66,,*061mj*,Y
426,12,Josh Knoth,MIL,SP,2023,2026,19.6,360,-66,,*069zn*,Y
427,12,Matthew Etzel,TB,OF,2023,2025,22.9,512,85,,*06fut*,Y
428,12,Ben Williamson,SEA,3B,2023,2025,24.4,361,-67,,*06dqd*,
429,12,Hector Rodriguez,CIN,OF,2021,2026,21,375,-54,,*05xse*,
430,12,Tekoah Roby,STL,SP,2020,2025,23.5,363,-67,,*05jqh*,Y
431,12,Jared Thomas,COL,OF,2024,2026,21.7,376,-55,,*06mpb*,
432,12,Otto Kemp,PHI,"2B,3B",2022,2025,25.6,419,-13,,*066al*,Y
433,12,Payton Martin,LAD,SP,2022,2026,20.9,366,-67,,*066dq*,
434,12,Adrian Bohorquez,MIN,SP,2023,2026,20.1,412,-22,,*06ltf*,Y
435,12,Brandon Young,BAL,SP,2020,2025,26.6,368,-67,,*05r3a*,Y
436,12,Joseph Sullivan,HOU,OF,2024,2026,22.7,580,144,,*06qgp*,Y
437,12,Luis De Leon,BAL,SP,2021,2026,22,483,46,,*06ckl*,Y
438,12,Kyle DeBarge,MIN,2B,2024,2026,21.7,371,-67,,*06kkg*,
439,12,Bryce Meccage,MIL,SP,2024,2026,19,458,19,,*06mnf*,
